[2025-06-29 19:28:37.449] [info]  DiscordSplash.signalReady
[2025-06-29 19:28:37.459] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-06-29 19:28:37.459] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-06-29 19:28:37.460] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-06-29 19:28:37.460] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-06-29 19:28:37.462] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-06-29 19:28:37.462] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-06-29 19:28:37.463] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-06-29 19:28:37.463] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-06-29 19:28:37.465] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-06-29 19:28:37.465] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-06-29 19:28:37.477] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-06-29 19:28:37.477] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-06-29 19:28:37.479] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-06-29 19:28:37.479] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-06-29 19:28:37.690] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-06-29 19:28:37.691] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-06-29 19:28:37.839] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-06-29 19:28:37.840] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-06-29 19:28:37.842] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-06-29 19:28:37.842] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-06-29 19:28:37.849] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-06-29 19:28:37.849] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
[2025-06-29 19:28:37.851] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-06-29 19:28:37.852] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2025-06-29 19:28:37.855] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-06-29 19:28:37.855] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-06-29 19:28:37.859] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-06-29 19:28:37.859] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2025-06-29 19:28:37.861] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-06-29 19:28:37.861] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":8}
[2025-06-29 19:28:37.864] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-06-29 19:28:37.865] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-06-29 19:28:37.867] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-06-29 19:28:37.868] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":11}
[2025-06-29 19:28:37.868] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
